"Group","n_windows","mean","median","Q1","Q3","sd"
"Gen0",264,0.237243501780303,0.4737325,-0.192412,0.8329795,0.80214900296839
"Gen1_ND",264,0.134918167575758,0.3577595,-0.26381,0.70206225,0.788452572985371
"Gen1_Control",264,0.149735878257576,0.3623555,-0.2467655,0.730453,0.763169606904476
"Gen2_ND",264,0.0611993380606061,0.248857,-0.36561575,0.605054,0.729869851162554
"Gen2_Control",264,0.0386654706818182,0.2262365,-0.35574625,0.569301,0.711061307562233
"Gen3_ND",264,0.0870902277651515,0.294144,-0.27961,0.630821,0.721178554306421
"Gen3_Control",264,0.103686573371212,0.3190965,-0.25366025,0.65356675,0.740294202988164
