set,n_snps,n_complete_both_deltas,n_zero_in_at_least_one,n_same_direction,n_different_direction,n_pos_pos,n_neg_neg,n_pos_neg,n_neg_pos,n_positive_Control,n_negative_Control,n_positive_ND,n_negative_ND,n_positive_total_treatments,n_negative_total_treatments,mean_delta_Control,median_delta_Control,sd_delta_Control,min_delta_Control,q25_delta_Control,q75_delta_Control,max_delta_Control,mean_delta_ND,median_delta_ND,sd_delta_ND,min_delta_ND,q25_delta_ND,q75_delta_ND,max_delta_ND
all_snps,703,703,0,679,24,47,632,13,11,60,643,58,645,118,1288,-0.0760758417048255,-0.0562512302590736,0.108544646484583,-0.527429681693116,-0.120185175355953,-0.0254006072362317,0.446341732979664,-0.0785968704782456,-0.0611620795107034,0.109570917669445,-0.558582499869089,-0.12856390456718,-0.0255773460410557,0.392206553579944
sig_BOTH,452,452,0,452,0,17,435,0,0,17,435,17,435,34,870,-0.107312873521022,-0.0843341385137051,0.114941885177959,-0.527429681693116,-0.173251995044799,-0.0423392567952029,0.416690578670493,-0.107975283238019,-0.0850704772271515,0.114413196349076,-0.558582499869089,-0.169354599406528,-0.0439585127882322,0.371428571428571
only_sig_Control,88,88,0,79,9,8,71,2,7,10,78,15,73,25,151,-0.0406546064392402,-0.0383007949497312,0.0719391463744637,-0.180167748917749,-0.0813561868641894,-0.0225685596891324,0.150641792234713,-0.0195011077679786,-0.0174536996561171,0.0430770996580075,-0.151243208781461,-0.0336363789974992,-0.0101449275362319,0.137833502195204
only_sig_ND,163,163,0,148,15,22,126,11,4,33,130,26,137,59,267,-0.00857848171985895,-0.0151975683890578,0.0592216385178394,-0.121316425120773,-0.0349974400347535,-0.0034503399468922,0.446341732979664,-0.0290348125094476,-0.034170381312174,0.088367464849148,-0.241962587190869,-0.0784873617584155,-0.0170700121408337,0.392206553579944
