group,n,median_abs_delta_control,q25_abs_delta_control,q75_abs_delta_control,median_abs_delta_ND,q25_abs_delta_ND,q75_abs_delta_ND,median_abs_treatment_diff,q25_abs_treatment_diff,q75_abs_treatment_diff,median_relative_reduction_in_other_treatment,n_relative_reduction,proportion_stronger_in_significant_treatment,q25_relative_reduction,q75_relative_reduction
ND only,163,0.0187319884726225,0.0120776274207925,0.0516022886211419,0.0660079051383399,0.0247508911197672,0.11452401232717,0.028255064335529,0.0100477341669658,0.0599862856642856,0.498452012383903,153,0.938650306748466,0.329853484216796,0.727564102564103
both,452,0.0950375562964707,0.04943960607262,0.177741288911237,0.0918451275213987,0.049226550217449,0.181111900784134,0.0115164974169059,0.00479435143283772,0.0198234216968679,,0,,,
control only,88,0.0546236142342533,0.0292991203914125,0.103604468745314,0.0201128487648836,0.014316414244781,0.0490930436969726,0.0201997754432291,0.0126901843641321,0.0521427565416948,0.459132709124562,87,0.988636363636364,0.320051435154058,0.612682967102124
