"GEN","n","mean_PC1","mean_PC2","var_PC1","var_PC2","cov_PC1_PC2","total_PC1_PC2_variance"
"Gen0",342,0.00492055809614365,-0.00353583303219421,0.00049864320341055,0.000494203635379592,0.000222182907636443,0.000992846838790143
"Gen1",736,0.000381535294840972,-0.000899244186425789,0.000692432261906964,0.000666580715709587,-1.65459961576848e-05,0.00135901297761655
"Gen2",460,-0.00193878876856599,0.0014497279736137,0.000401312160010352,0.000373374136101428,-3.72478216868268e-05,0.00077468629611178
"Gen3",470,-0.00262335200685291,0.00183336799756572,0.000242184191431168,0.000251373095350813,-3.34665442553637e-05,0.000493557286781981
