"PC","Standard_deviation","Proportion_of_variance","Cumulative_proportion"
"PC1",2.46625360596213,0.415402346984512,0.415402346984512
"PC2",1.95682028016101,0.261514251244736,0.676916598229248
"PC3",1.36768443074305,0.127751287463757,0.804667885693005
"PC4",1.32313598158866,0.119564551522118,0.924232437215123
"PC5",1.05328262244731,0.075767562784877,1
"PC6",1.01565299151809e-14,7.04505168327316e-30,1
