"","gen0","gen1_ND","gen1_Control","gen2_ND","gen2_Control","gen3_Control","gen3_ND"
"gen0",NA,NA,NA,NA,NA,NA,NA
"gen1_ND",0.00107803816930881,NA,NA,NA,NA,NA,NA
"gen1_Control",0.0013611678034694,6.40699961925713e-05,NA,NA,NA,NA,NA
"gen2_ND",0.00324928136235101,0.00205095002626677,0.00238556601775612,NA,NA,NA,NA
"gen2_Control",0.00469024121139198,0.00321978989929655,0.00247849985054426,0.00146325131175494,NA,NA,NA
"gen3_Control",0.0049144058657568,0.00354049988180659,0.00288832208679349,0.00178922168115809,0.00017703231618409,NA,NA
"gen3_ND",0.00430224527717492,0.00303496253198402,0.00309861402047292,0.000334863551425953,0.00156869434284022,0.00174486297410205,NA
