GO	x	K	GeneRatio	BgRatio	p_value	genes_in_target	p_adjust	significant
GO:0030488	1	6	1/287	6/27058	0.061982743005662866	S.CEREALE.LO7.r2.7RG00681170	0.24793097202265146	FALSE
GO:0004252	4	141	4/287	141/27058	0.06359200896040344	S.CEREALE.LO7.r2.2RG00140350;S.CEREALE.LO7.r2.3RG00284290;S.CEREALE.LO7.r2.6RG00586290;S.CEREALE.LO7.r2.7RG00723690	0.24956863893894182	FALSE
GO:0009523	2	41	2/287	41/27058	0.07016328765319348	S.CEREALE.LO7.r2.2RG00143350;S.CEREALE.LO7.r2.7RG00671400	0.27025858947896747	FALSE
GO:0006801	1	7	1/287	7/27058	0.07193435297007833	S.CEREALE.LO7.r2.4RG00385810	0.27204264395956895	FALSE
GO:0004553	7	349	7/287	349/27058	0.07957023433979299	S.CEREALE.LO7.r2.2RG00159370;S.CEREALE.LO7.r2.2RG00167850;S.CEREALE.LO7.r2.2RG00180760;S.CEREALE.LO7.r2.3RG00268500;S.CEREALE.LO7.r2.3RG00268990;S.CEREALE.LO7.r2.4RG00314020;S.CEREALE.LO7.r2.7RG00729750	0.2835065941871312	FALSE
GO:0032508	1	8	1/287	8/27058	0.08178074832321092	S.CEREALE.LO7.r2.4RG00352180	0.2835065941871312	FALSE
GO:0019346	1	8	1/287	8/27058	0.08178074832321092	S.CEREALE.LO7.r2.1RG00039120	0.2835065941871312	FALSE
GO:0006164	1	8	1/287	8/27058	0.08178074832321092	S.CEREALE.LO7.r2.3RG00292450	0.2835065941871312	FALSE
GO:0030151	1	8	1/287	8/27058	0.08178074832321092	S.CEREALE.LO7.r2.5RG00501370	0.2835065941871312	FALSE
GO:0030599	2	47	2/287	47/27058	0.08880419167513123	S.CEREALE.LO7.r2.2RG00115070;S.CEREALE.LO7.r2.2RG00140910	0.2979237398133435	FALSE
GO:0042545	2	47	2/287	47/27058	0.08880419167513123	S.CEREALE.LO7.r2.2RG00115070;S.CEREALE.LO7.r2.2RG00140910	0.2979237398133435	FALSE
GO:0005618	2	49	2/287	49/27058	0.09531063630259361	S.CEREALE.LO7.r2.2RG00159370;S.CEREALE.LO7.r2.2RG00167850	0.30499403616829956	FALSE
GO:0016762	2	49	2/287	49/27058	0.09531063630259361	S.CEREALE.LO7.r2.2RG00159370;S.CEREALE.LO7.r2.2RG00167850	0.30499403616829956	FALSE
GO:0044042	2	49	2/287	49/27058	0.09531063630259361	S.CEREALE.LO7.r2.2RG00159370;S.CEREALE.LO7.r2.2RG00167850	0.30499403616829956	FALSE
GO:0033180	1	10	1/287	10/27058	0.1011623177397376	S.CEREALE.LO7.r2.1RG00053960	0.31881457711917305	FALSE
GO:0016887	6	302	6/287	302/27058	0.10352783094972294	S.CEREALE.LO7.r2.1RG00082910;S.CEREALE.LO7.r2.4RG00309670;S.CEREALE.LO7.r2.6RG00588200;S.CEREALE.LO7.r2.7RG00707230;S.CEREALE.LO7.r2.7RG00710260;S.CEREALE.LO7.r2.7RG00723520	0.3213998333961548	FALSE
GO:0006412	7	376	7/287	376/27058	0.10686776527969379	S.CEREALE.LO7.r2.1RG00054700;S.CEREALE.LO7.r2.2RG00090230;S.CEREALE.LO7.r2.2RG00114060;S.CEREALE.LO7.r2.3RG00260220;S.CEREALE.LO7.r2.5RG00499680;S.CEREALE.LO7.r2.6RG00602240;S.CEREALE.LO7.r2.7RG00729760	0.32376671224638953	FALSE
GO:0031625	1	11	1/287	11/27058	0.11069967409912429	S.CEREALE.LO7.r2.5RG00510070	0.32376671224638953	FALSE
GO:0019829	1	11	1/287	11/27058	0.11069967409912429	S.CEREALE.LO7.r2.7RG00723520	0.32376671224638953	FALSE
GO:0004097	1	11	1/287	11/27058	0.11069967409912429	S.CEREALE.LO7.r2.5RG00534520	0.32376671224638953	FALSE
GO:0015297	3	110	3/287	110/27058	0.11207309270067331	S.CEREALE.LO7.r2.2RG00177730;S.CEREALE.LO7.r2.3RG00201340;S.CEREALE.LO7.r2.5RG00431530	0.32376671224638953	FALSE
