GO	x	K	GeneRatio	BgRatio	p_value	genes_in_target	p_adjust	significant
GO:0020037	4	1108	4/90	1108/27058	0.5060281796480679	S.CEREALE.LO7.r2.1RG00024200;S.CEREALE.LO7.r2.2RG00188450;S.CEREALE.LO7.r2.4RG00370230;S.CEREALE.LO7.r2.5RG00530820	0.6169384655983293	FALSE
GO:0030247	1	231	1/90	231/27058	0.5383394467941041	S.CEREALE.LO7.r2.5RG00431990	0.6474623076307467	FALSE
GO:0016788	1	247	1/90	247/27058	0.5625128567407236	S.CEREALE.LO7.r2.2RG00172880	0.6675152566656587	FALSE
GO:0016887	1	302	1/90	302/27058	0.6364473151172718	S.CEREALE.LO7.r2.6RG00608890	0.7391913019449278	FALSE
GO:0016787	1	308	1/90	308/27058	0.6437239247933535	S.CEREALE.LO7.r2.7RG00714350	0.7391913019449278	FALSE
GO:0008270	3	995	3/90	995/27058	0.6478305792326333	S.CEREALE.LO7.r2.4RG00314900;S.CEREALE.LO7.r2.5RG00480790;S.CEREALE.LO7.r2.7RG00677860	0.7391913019449278	FALSE
GO:0046872	1	336	1/90	336/27058	0.6758216764818388	S.CEREALE.LO7.r2.4RG00306350	0.7613687241377677	FALSE
GO:0003735	1	374	1/90	374/27058	0.7148531492182544	S.CEREALE.LO7.r2.3RG00260220	0.7711697028808541	FALSE
GO:0004497	2	749	2/90	749/27058	0.7157329488311194	S.CEREALE.LO7.r2.1RG00024200;S.CEREALE.LO7.r2.5RG00530820	0.7711697028808541	FALSE
GO:0006412	1	376	1/90	376/27058	0.7167734323311509	S.CEREALE.LO7.r2.3RG00260220	0.7711697028808541	FALSE
GO:0016705	2	754	2/90	754/27058	0.7191807341473133	S.CEREALE.LO7.r2.1RG00024200;S.CEREALE.LO7.r2.5RG00530820	0.7711697028808541	FALSE
GO:0005524	7	2574	7/90	2574/27058	0.7641470034361237	S.CEREALE.LO7.r2.1RG00013810;S.CEREALE.LO7.r2.2RG00153030;S.CEREALE.LO7.r2.2RG00168980;S.CEREALE.LO7.r2.3RG00214930;S.CEREALE.LO7.r2.4RG00411090;S.CEREALE.LO7.r2.5RG00423210;S.CEREALE.LO7.r2.6RG00608890	0.8096319441168454	FALSE
GO:0003824	1	451	1/90	451/27058	0.7802506977970824	S.CEREALE.LO7.r2.5RG00501370	0.8169683776934158	FALSE
GO:0003723	1	617	1/90	617/27058	0.8750048519503352	S.CEREALE.LO7.r2.6RG00637850	0.9055282770183701	FALSE
GO:0043531	1	932	1/90	932/27058	0.9575720168726998	S.CEREALE.LO7.r2.2RG00167060	0.9795851666858653	FALSE
GO:0003676	3	2122	3/90	2122/27058	0.9759701350678296	S.CEREALE.LO7.r2.4RG00411090;S.CEREALE.LO7.r2.5RG00480790;S.CEREALE.LO7.r2.6RG00637850	0.9831943340375247	FALSE
GO:0006508	1	1199	1/90	1199/27058	0.9831943340375247	S.CEREALE.LO7.r2.4RG00314890	0.9831943340375247	FALSE
